#th(º)				ph(º)			Eth(V/m)		Eth(º)		Eph(V/m)		Eph(º)
-1.790000000000000000e+02 2.400000000000000000e+01 1.037969279488840185e-06 -7.284821499999999617e+01 1.425251477855232430e-06 1.743407699999999920e+02
-1.790000000000000000e+02 2.700000000000000000e+01 1.066371427458964036e-06 -6.936525399999999308e+01 1.401993499563707107e-06 1.762845399999999927e+02
-1.790000000000000000e+02 3.000000000000000000e+01 1.095902707787421666e-06 -6.607520999999999844e+01 1.376873368860998253e-06 1.782973700000000008e+02
-1.790000000000000000e+02 3.300000000000000000e+01 1.126155857296614395e-06 -6.296931200000000217e+01 1.350034913471016500e-06 -1.796101899999999887e+02
-1.790000000000000000e+02 3.600000000000000000e+01 1.156767291212653042e-06 -6.003648100000000198e+01 1.321672945107231821e-06 -1.774266100000000108e+02
-1.790000000000000000e+02 3.900000000000000000e+01 1.187379372594463797e-06 -5.726468400000000258e+01 1.291968722874319813e-06 -1.751414200000000108e+02
-1.790000000000000000e+02 4.200000000000000000e+01 1.217683720806439982e-06 -5.463995400000000302e+01 1.261149290796329719e-06 -1.727402400000000000e+02
-1.790000000000000000e+02 4.500000000000000000e+01 1.247361972878806662e-06 -5.215101099999999690e+01 1.229487166803784580e-06 -1.702105999999999995e+02
-1.790000000000000000e+02 4.800000000000000000e+01 1.276146400966153645e-06 -4.978471600000000308e+01 1.197244911800044979e-06 -1.675377000000000010e+02
-1.790000000000000000e+02 5.100000000000000000e+01 1.303768548156362025e-06 -4.752913699999999864e+01 1.164738684644506923e-06 -1.647068999999999903e+02
-1.790000000000000000e+02 5.400000000000000000e+01 1.329998037079377308e-06 -4.537331700000000012e+01 1.132311713467050552e-06 -1.617033700000000067e+02
-1.790000000000000000e+02 5.700000000000000000e+01 1.354630968873645258e-06 -4.330565399999999698e+01 1.100359253466954419e-06 -1.585125199999999950e+02
-1.790000000000000000e+02 6.000000000000000000e+01 1.377436224211846373e-06 -4.131629999999999825e+01 1.069283831589811041e-06 -1.551198799999999949e+02
-1.790000000000000000e+02 6.300000000000000000e+01 1.398269871447333024e-06 -3.939550500000000000e+01 1.039535918835719359e-06 -1.515149800000000084e+02
-1.790000000000000000e+02 6.600000000000000000e+01 1.416940128755014274e-06 -3.753401199999999704e+01 1.011585277396087682e-06 -1.476904600000000016e+02
